Date,Open,High,Low,Close,Adj Close,Volume
02/12/2009,7.105714,7.193572,6.991071,7.008214,6.056073,715260000
03/12/2009,7.050714,7.106429,7.009643,7.017143,6.063787,448719600
04/12/2009,7.132143,7.138571,6.795714,6.904286,5.966264,826884800
07/12/2009,6.904286,6.920357,6.738572,6.748214,5.831396,714758800
08/12/2009,6.762857,6.869643,6.739286,6.781072,5.85979,690398800
09/12/2009,6.831429,7.077143,6.796786,7.064286,6.104527,684782000
10/12/2009,7.125,7.132143,7.004286,7.015357,6.062245,489669600
11/12/2009,7.063571,7.071429,6.908214,6.9525,6.007928,429774800
14/12/2009,6.9775,7.051072,6.877143,7.035,6.07922,495790400
15/12/2009,6.993928,7.053928,6.9025,6.934643,5.992496,419459600
16/12/2009,6.967857,7.017857,6.948214,6.965357,6.019038,352984800
17/12/2009,6.937857,6.964286,6.821429,6.852143,5.921206,388838800
18/12/2009,6.898929,6.982143,6.878572,6.979643,6.031383,608770400
21/12/2009,7.001786,7.133929,6.988214,7.079643,6.117797,611906400
22/12/2009,7.122857,7.173214,7.095,7.155715,6.183534,349515600
23/12/2009,7.185714,7.227857,7.171786,7.217857,6.237234,345525600
24/12/2009,7.269643,7.476786,7.2625,7.465714,6.451417,500889200
28/12/2009,7.561429,7.641071,7.486072,7.5575,6.53073,644565600
29/12/2009,7.593928,7.597143,7.454643,7.467857,6.453269,445205600
30/12/2009,7.458214,7.571429,7.439643,7.558571,6.531657,412084400
31/12/2009,7.611786,7.619643,7.52,7.526072,6.503574,352410800
04/01/2010,7.6225,7.660714,7.585,7.643214,6.604801,493729600
05/01/2010,7.664286,7.699643,7.616071,7.656428,6.616219,601904800
06/01/2010,7.656428,7.686786,7.526786,7.534643,6.51098,552160000
07/01/2010,7.5625,7.571429,7.466072,7.520714,6.498945,477131200
08/01/2010,7.510714,7.571429,7.466429,7.570714,6.54215,447610800
11/01/2010,7.6,7.607143,7.444643,7.503929,6.484439,462229600
12/01/2010,7.471071,7.491786,7.372143,7.418571,6.410679,594459600
13/01/2010,7.423929,7.533214,7.289286,7.523214,6.501104,605892000
14/01/2010,7.503929,7.516428,7.465,7.479643,6.463451,432894000
15/01/2010,7.533214,7.557143,7.3525,7.354643,6.355436,594067600
19/01/2010,7.440357,7.685357,7.401429,7.68,6.63659,730007600
20/01/2010,7.675357,7.698214,7.482143,7.561786,6.534435,612152800
21/01/2010,7.574286,7.618214,7.400357,7.431071,6.42148,608154400
22/01/2010,7.385,7.410714,7.041429,7.0625,6.102983,881767600
25/01/2010,7.2325,7.310714,7.149643,7.2525,6.267169,1065699600
26/01/2010,7.355357,7.6325,7.235,7.355,6.355743,1867110000
27/01/2010,7.3875,7.520714,7.126071,7.424286,6.415617,1722568400
28/01/2010,7.318929,7.339286,7.096428,7.1175,6.15051,1173502400
29/01/2010,7.181428,7.221428,6.794643,6.859286,5.927377,1245952400
01/02/2010,6.870357,7,6.832143,6.954643,6.009779,749876400
02/02/2010,6.996786,7.011428,6.906428,6.995,6.044655,698342400
03/02/2010,6.970357,7.15,6.943572,7.115357,6.148659,615328000
04/02/2010,7.026072,7.084643,6.841786,6.858929,5.927071,757652000
05/02/2010,6.879643,7,6.816072,6.980714,6.03231,850306800
08/02/2010,6.988929,7.067143,6.928571,6.932857,5.990953,478270800
09/02/2010,7.015,7.053571,6.955357,7.006786,6.054839,632886800
10/02/2010,6.996071,7.021429,6.937857,6.968572,6.021814,370361600
11/02/2010,6.96,7.133929,6.930714,7.095357,6.131377,550345600
12/02/2010,7.075357,7.201428,6.982143,7.156428,6.184149,655468800
16/02/2010,7.212143,7.274643,7.197143,7.264286,6.277353,543737600
17/02/2010,7.2925,7.296786,7.173572,7.233929,6.251121,436396800
18/02/2010,7.201071,7.281785,7.175714,7.2475,6.262847,422825200
19/02/2010,7.209286,7.257143,7.1825,7.2025,6.223962,415469600
22/02/2010,7.226429,7.232143,7.113929,7.157857,6.185386,390563600
23/02/2010,7.142857,7.190357,6.989643,7.037857,6.081687,575094800
24/02/2010,7.079643,7.194286,7.065714,7.166429,6.192791,460566400
25/02/2010,7.049286,7.245,7.031785,7.214286,6.234147,665126000
26/02/2010,7.227857,7.3275,7.214286,7.307857,6.315006,507460800
01/03/2010,7.348214,7.482143,7.3375,7.463929,6.449873,550093600
02/03/2010,7.4975,7.529643,7.419286,7.458929,6.445552,566546400
03/03/2010,7.462143,7.495357,7.426429,7.476071,6.460366,372052800
04/03/2010,7.474286,7.532857,7.451071,7.525357,6.502955,366041200
05/03/2010,7.676429,7.846428,7.665357,7.819643,6.75726,899620400
08/03/2010,7.8575,7.860357,7.794643,7.824286,6.761272,429889600
